,dataset,kecamatan,gender,latitude,longitude,panjang,lebar,ac,air_panas,bak_mandi,bantal,bathtub,cctv,cermin,cleaning_service,dapur,dispenser,ember_mandi,guling,jemuran,kamar_mandi_dalam,kamar_mandi_luar,kartu_akses,kasur,kipas_angin,kloset_duduk,kloset_jongkok,kulkas,kursi,laundry,lemari_baju,locker,meja,meja_makan,microwave,mushola,parkir_mobil,parkir_motor,parkir_sepeda,penjaga_kos,rice_cooker,ruang_santai,shower,sofa,taman,termasuk_listrik,tv,wastafel,wifi,harga,luas,kategori_harga,total_facilities,jumlah_fasilitas_premium,jumlah_fasilitas_non_premium,jumlah_fasilitas_netral,luas_m2
589,telkom,dayeuhkolot,Kos Putra,-6.97847,107.631416,3.0,3.0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,800000,9.0,Low,9,2,3,4,9.0
590,telkom,dayeuhkolot,Kos Putri,-6.971057,107.63315,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1300000,9.0,Medium,1,0,1,0,9.0
591,telkom,dayeuhkolot,Kos Putri,-6.971117,107.633446,3.0,4.0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,950000,12.0,Low,10,2,3,5,12.0
592,telkom,bojongsoang,Kos Putri,-6.972157,107.64122,3.0,3.0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1100000,9.0,Medium,15,6,3,6,9.0
593,telkom,dayeuhkolot,Kos Putra,-6.9790831412114,107.62990370393,3.0,4.0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1833333,12.0,Medium,20,8,1,11,12.0
594,telkom,dayeuhkolot,Kos Campur,-6.970633,107.635567,3.0,7.0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1000000,21.0,Low,12,3,4,5,21.0
595,telkom,baleendah,Kos Putra,-6.9874611028835,107.6151072979,3.0,5.0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,700000,15.0,Low,8,2,3,3,15.0
596,telkom,bojongsoang,Kos Putri,-6.976687,107.6350947,5.0,4.0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,900000,20.0,Low,13,3,4,6,20.0
597,telkom,bojongsoang,Kos Putra,-6.96996,107.636307,3.0,4.0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,900000,12.0,Low,11,4,4,3,12.0
598,telkom,bojongsoang,Kos Putra,-6.97652,107.635046,3.0,4.0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,700000,12.0,Low,18,3,6,9,12.0
599,telkom,bandung kidul,Kos Campur,-6.9626474,107.6432887,5.0,4.0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1700000,20.0,Medium,13,8,1,4,20.0
600,telkom,dayeuhkolot,Kos Putra,-6.9715698,107.6351812,3.0,4.0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1000000,12.0,Low,13,2,4,7,12.0
601,telkom,buahbatu,Kos Campur,-6.9555075682572,107.64748625457,4.0,4.0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1100000,16.0,Medium,20,5,3,12,16.0
